bairro,endereco,area,quartos,banheiros,vaga,aluguel,condominio,endereco_completo,latitude,longitude,aluguel_num
Centro,Rua Aurora,38.0,1.0,1.0,0,R$ 1.450,R$ 576 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1450.0
Centro,Avenida Senador Queirós 101,41.0,1.0,1.0,0,R$ 1.450,R$ 990 Condominio,"Avenida Senador Queirós 101, Centro, São Paulo, São Paulo, Brasil",-23.5388665,-46.6351773,1450.0
Vila Buarque,"rua das Palmeiras, 381",58.0,2.0,1.0,0,R$ 1.450,R$ 595 Condominio,"rua das Palmeiras, 381, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5365629,-46.6523893,1450.0
Centro,AV NOVE DE JULHO,80.0,1.0,1.0,0,R$ 1.450,R$ 650 Condominio,"AV NOVE DE JULHO, Centro, São Paulo, São Paulo, Brasil",-23.5665948,-46.6587092,1450.0
Vila Buarque,Rua Marquês de Itu,31.0,1.0,1.0,1,R$ 1.459,R$ 720 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1459.0
Vila Buarque,Rua Amaral Gurgel,29.0,1.0,1.0,0,R$ 1.460,R$ 500 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1460.0
Centro,Rua Álvaro de Carvalho,35.0,1.0,1.0,1,R$ 1.460,R$ 720 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1460.0
Centro,Rua Martins Fontes,30.0,1.0,1.0,0,R$ 1.475,R$ 370 Condominio,"Rua Martins Fontes, Centro, São Paulo, São Paulo, Brasil",-23.5492334,-46.6442819,1475.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,24.0,1.0,1.0,0,R$ 1.480,R$ 450 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1480.0
Vila Buarque,Rua Major Sertório,31.0,1.0,1.0,1,R$ 1.489,R$ 510 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1489.0
Centro,Avenida Cásper Líbero,50.0,1.0,1.0,0,R$ 1.490,R$ 488 Condominio,"Avenida Cásper Líbero, Centro, São Paulo, São Paulo, Brasil",-23.539054,-46.636087,1490.0
Vila Buarque,Largo santa cecilia,48.0,1.0,1.0,0,R$ 1.490,,"Largo santa cecilia, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5391771,-46.6500331,1490.0
Centro,Rua Álvaro de Carvalho,35.0,1.0,1.0,1,R$ 1.495,R$ 716 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1495.0
Centro,Rua dos Andradas,30.0,1.0,1.0,0,R$ 1.497,R$ 483 Condominio,"Rua dos Andradas, Centro, São Paulo, São Paulo, Brasil",-23.5384537,-46.6378847,1497.0
Santa Efigênia,"AV Duque de Caxias, 20",58.0,1.0,1.0,0,R$ 1.500,R$ 508 Condominio,"AV Duque de Caxias, 20, Santa Efigênia, São Paulo, São Paulo, Brasil",-23.5413254,-46.64650349999999,1500.0
Vila Buarque,Rua Amaral Gurgel,42.0,1.0,1.0,1,R$ 1.500,R$ 750 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1500.0
Centro,Rua dos Carmelitas,50.0,1.0,1.0,0,R$ 1.500,R$ 675 Condominio,"Rua dos Carmelitas, Centro, São Paulo, São Paulo, Brasil",-23.5512062,-46.6291981,1500.0
Vila Buarque,Rua Santa Isabel,45.0,1.0,1.0,0,R$ 1.500,R$ 508 Condominio,"Rua Santa Isabel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5427715,-46.6482353,1500.0
Centro,Avenida Senador Queirós,20.0,1.0,1.0,0,R$ 1.500,R$ 550 Condominio,"Avenida Senador Queirós, Centro, São Paulo, São Paulo, Brasil",-23.5393987,-46.6327896,1500.0
Luz,Rua Dutra Rodrigues,28.0,1.0,1.0,0,R$ 1.500,R$ 100 Condominio,"Rua Dutra Rodrigues, Luz, São Paulo, São Paulo, Brasil",-23.534234,-46.6316975,1500.0
Centro,Rua Aurora,38.0,1.0,1.0,0,R$ 1.450,R$ 576 Condominio,"Rua Aurora, Centro, São Paulo, São Paulo, Brasil",-23.5390208,-46.6387669,1450.0
Centro,Avenida Senador Queirós 101,41.0,1.0,1.0,0,R$ 1.450,R$ 990 Condominio,"Avenida Senador Queirós 101, Centro, São Paulo, São Paulo, Brasil",-23.5388665,-46.6351773,1450.0
Vila Buarque,"rua das Palmeiras, 381",58.0,2.0,1.0,0,R$ 1.450,R$ 595 Condominio,"rua das Palmeiras, 381, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5365629,-46.6523893,1450.0
Centro,AV NOVE DE JULHO,80.0,1.0,1.0,0,R$ 1.450,R$ 650 Condominio,"AV NOVE DE JULHO, Centro, São Paulo, São Paulo, Brasil",-23.5665948,-46.6587092,1450.0
Vila Buarque,Rua Marquês de Itu,31.0,1.0,1.0,1,R$ 1.459,R$ 720 Condominio,"Rua Marquês de Itu, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5437626,-46.6498096,1459.0
Vila Buarque,Rua Amaral Gurgel,29.0,1.0,1.0,0,R$ 1.460,R$ 500 Condominio,"Rua Amaral Gurgel, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5443915,-46.647709,1460.0
Centro,Rua Álvaro de Carvalho,35.0,1.0,1.0,1,R$ 1.460,R$ 720 Condominio,"Rua Álvaro de Carvalho, Centro, São Paulo, São Paulo, Brasil",-23.5491833,-46.6425156,1460.0
Centro,Rua Martins Fontes,30.0,1.0,1.0,0,R$ 1.475,R$ 370 Condominio,"Rua Martins Fontes, Centro, São Paulo, São Paulo, Brasil",-23.5492334,-46.6442819,1475.0
Vila Buarque,Rua Doutor Cesário Mota Júnior,24.0,1.0,1.0,0,R$ 1.480,R$ 450 Condominio,"Rua Doutor Cesário Mota Júnior, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453759,-46.6489592,1480.0
Vila Buarque,Rua Major Sertório,31.0,1.0,1.0,1,R$ 1.489,R$ 510 Condominio,"Rua Major Sertório, Vila Buarque, São Paulo, São Paulo, Brasil",-23.5453915,-46.6487475,1489.0
